가격,쪽수
14000,264
14000,160
14000,160
12000,32
11000,56
12000,104
15000,264
15000,252
14000,152
14000,225
15000,264
11000,208
23000,312
20000,318
14800,232
18000,248
25000,420
12000,132
,
13000,248
13000,378
17000,168
29000,596
10000,192
15000,224
26000,536
27000,564
23000,408
17800,284
15000,220
26000,425
23000,304
15000,288
12000,198
14000,32
13500,180
17000,264
14000,244
19800,384
13500,144
26000,516
13000,188
23000,348
34000,584
18000,272
12000,40
14000,245
13000,128
12000,132
18000,400
15800,320
28000,416
20000,256
18000,416
16500,268
16000,292
17000,288
30000,476
20000,228
12000,245
55000,520
20000,382
15000,248
21000,432
13000,260
9000,81
16000,308
20000,374
13500,208
30000,536
24000,281
15000,192
22000,252
15000,350
16000,288
23000,421
14000,264
29000,408
18800,388
20000,426
15000,128
12000,157
22000,320
16000,292
15000,256
15000,224
16000,352
16000,264
34000,690
13000,128
17000,384
15000,248
23000,335
15000,232
13000,232
15000,308
19000,372
23000,446
15000,256
16000,256
16000,212
23000,416
16500,260
12000,32
13000,36
13000,168
18000,336
17000,328
14000,208
10000,184
14000,240
26000,331
12000,136
16800,150
12000,132
15000,300
15000,248
18000,197
28000,578
14000,184
19800,508
9000,136
13000,204
12000,132
16000,312
22000,400
65000,840
20000,352
13000,212
35000,494
22000,200
15000,286
15000,46
26000,688
12000,136
14000,200
12000,188
20000,423
20000,376
8000,32
,
14000,44
15000,40
13000,42
11000,36
13000,40
11000,120
11000,64
11000,56
60000,40
60000,32
30000,368
20000,432
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
13000,40
19800,280
17500,382
11500,144
12500,255
13000,256
15000,320
16500,320
,
14800,212
,
13000,40
,
9500,186
12000,320
,
13000,140
30000,304
19000,176
24000,232
24000,236
33000,336
24000,240
3000,112
3000,104
,
11000,306
38000,466
18000,288
,
,
20000,쪽수확인중
10000,156
15000,400
,
15000,232
15000,332
30000,492
,
,
20000,632
18500,356
25000,480
19000,312
14000,336
12000,160
,
13000,191
13000,413
13000,272
15000,288
14000,312
17000,352
,
18000,280
24000,360
15000,400
10000,204
,
15000,280
,
17000,258
14500,316
17000,304
20000,484
25000,256
25000,597
15000,280
,
,
,
18500,420
16000,349
,
,
15500,304
14000,232
,
,
,
12000,242
15000,248
12000,288
13500,192
12000,256
,
8000,237
,
15000,316
14500,412
15000,304
15000,400
5000,174
20000,476
,
12000,376
,
12000,133
11000,32
,
14000,172
9000,296
,
10000,304
20000,352
14000,302
,
9000,393
,
,
13000,쪽수확인중
14000,320
,
,
,
15000,308
,
8500,287
9000,296
13000,328
8000,206
15000,622
11000,197
18000,327
,
22000,464
,
15000,472
14000,260
,
,
,
,
10000,104
,
,
20000,612
,
,
15000,356
14000,315
19800,248
23000,374
48000,"1,396"
30000,756
20000,480
,
20000,540
20000,492
38000,424
23000,340
11000,182
23000,256
18000,328
16000,264
15000,204
23800,464
14900,224
19800,415
15600,472
18000,232
12500,48
12000,236
12500,168
10000,176
14000,176
14000,184
19500,248
15000,304
16000,쪽수확인중
19500,480
18000,424
16000,292
33000,720
15000,176
17800,340
18000,360
24000,402
,
22000,360
20000,344
9500,212
16000,418
28000,600
16000,418
16000,418
16000,418
16000,418
12000,360
12000,374
12000,328
12000,330
18000,328
19000,283
37000,400
22000,412
49000,432
16000,296
28000,293
15000,244
16000,308
14000,224
17000,320
20000,404
14000,248
22000,538
16000,320
16000,288
15000,389
16000,323
18900,304
,
22000,404
13000,288
9000,302
17000,396
,
35000,528
,
38000,360
16000,272
12000,136
17000,356
12000,200
14000,239
15000,328
22000,692
15000,216
17000,296
18000,368
19800,640
14000,199
15000,384
8000,208
22000,272
14000,279
18000,324
35000,208
16000,336
15000,248
20000,544
12000,188
18000,332
15000,276
16000,370
40000,496
15000,312
16000,308
14000,240
16000,272
17000,371
20000,309
25000,638
38000,632
20000,352
20000,392
18000,416
16000,292
12000,128
16000,328
24000,400
17000,380
17000,308
18000,408
17000,264
15000,312
15000,288
16000,360
22000,412
25000,487
18000,224
15000,310
25000,606
12000,318
20000,374
15000,328
100000,824
15000,267
40000,542
,
13000,304
15000,220
13000,240
18000,384
16000,304
24000,214
15000,336
20000,552
14000,234
12000,192
20000,296
12000,278
16000,368
14000,236
25000,424
17000,376
16000,320
20000,528
17000,334
20000,612
17000,330
19000,408
25000,415
20000,333
16000,264
13800,248
13000,176
20000,400
50000,446
15000,276
17000,268
15000,224
14800,306
20000,268
16800,328
18000,288
25000,642
18000,312
20000,356
25000,387
18000,616
20000,429
20000,536
13000,168
20000,482
18000,368
16500,304
12000,244
15000,260
12000,320
25000,388
25000,727
24000,220
12000,568
15000,129
30000,392
12000,238
28000,584
13000,174
23000,436
45000,304
12000,296
20000,433
14500,324
16000,240
13800,240
18000,344
20000,480
18000,412
17000,384
18000,349
11500,140
25000,520
13800,232
13800,340
21000,312
22000,466
16000,240
40000,591
15000,280
15000,310
17000,400
14000,128
17000,312
54000,674
,
18000,280
22000,348
18000,288
25000,600
8000,287
15000,410
16000,316
17000,460
20000,342
30000,432
20000,472
11200,212
15000,쪽수확인중
10000,143
14000,248
18000,359
15000,260
14000,239
22000,560
,
6900,189
12000,136
11000,276
25000,412
11000,124
14500,268
35000,472
20000,472
17500,352
30000,464
15000,336
16000,328
22000,228
15000,246
20000,240
14000,216
16000,236
28000,398
22000,480
15000,256
17000,424
15800,304
15000,276
19000,524
25000,496
25000,784
19800,472
12000,204
16000,316
20000,448
15000,290
16000,304
16000,310
16000,288
15000,350
16800,146
17000,464
10000,296
42000,544
12000,128
27000,436
15000,288
,
12000,284
15000,280
35000,496
,
,
31000,488
14000,352
14000,331
,
14000,335
,
14000,327
,
,
14000,344
14000,352
,
,
,
18000,460
,
23000,310
32000,660
17000,368
16000,368
17800,304
20000,312
39000,520
16000,296
22000,243
,
40000,493
29000,672
29000,684
17000,464
12000,232
15000,320
15000,368
17800,348
15000,280
,
18000,504
19000,236
13800,200
16500,248
22000,624
17000,293
18000,336
15000,360
12000,215
22000,424
,
16000,250
13000,196
14000,256
15000,384
18000,240
12000,204
15000,217
14000,256
28000,544
12000,418
16000,288
25000,232
15000,190
,
16000,320
15000,272
16500,228
10000,125
16000,319
29500,736
16000,248
15000,260
16000,212
23000,452
17800,384
10000,374
16000,294
28000,664
14500,272
16000,280
16500,392
14000,353
17000,292
16000,320
15000,256
19000,360
16000,232
32000,662
19000,384
6000,70
20000,240
23000,462
19500,385
25000,484
19500,350
25000,277
16500,292
24000,448
16000,320
35000,745
14000,232
17000,340
19000,276
13000,192
26000,552
19800,380
20000,312
16000,272
28000,256
14000,264
19000,340
15000,272
19000,464
15000,340
20000,432
,
16000,284
13000,350
11500,200
23000,432
13800,416
15000,264
17000,368
16000,228
10900,292
18000,392
15000,248
20000,280
20000,356
19000,269
18000,432
14500,360
18000,368
14000,188
12000,204
19800,372
28000,665
20000,376
18000,488
28000,444
12000,160
20000,408
20000,268
42000,760
28000,424
39000,704
12000,312
25000,509
25000,376
28000,460
11000,382
12000,576
25000,460
23000,476
20000,376
10000,354
20000,552
27000,380
8900,172
14000,332
25000,364
20000,467
11500,336
25000,440
10000,245
18000,317
10000,88
15000,408
25000,550
30000,607
8000,160
18000,356
22000,424
11000,310
12000,360
14000,236
13000,320
50000,759
12000,196
17000,364
15000,399
,
25000,276
20000,432
13800,304
32000,888
25000,663
17000,272
28000,454
16000,344
13000,128
13000,180
13500,192
8500,64
12000,140
10000,106
12000,236
20000,376
10700,38
12000,208
,
,
6500,28
,
,
13000,48
,
,
,
,
,
,
,
,
,
,
18000,388
,
,
,
43000,380
,
,
35000,655
,
,
,
,
,
,
,
,
,
,
,
,
,
,
15000,264
,
,
,
,
,
,
,
,
,
17000,364
14500,276
13000,208
15000,260
8000,198
8000,244
28000,543
,
,
,
17000,356
,
,
18000,352
13800,300
12500,224
12000,216
11500,192
13000,216
12000,152
15000,64
,
13800,260
11000,271
16000,296
30000,224
,
17000,296
14000,304
,
,
16000,392
33000,320
17000,432
13000,516
16000,272
14000,297
19000,368
17000,269
15000,328
10000,166
25000,360
29000,460
24000,388
16000,392
30000,592
28000,416
18000,296
10000,394
13000,297
25000,280
15000,312
35000,692
18000,320
11500,164
35000,320
24000,320
22000,472
15000,239
18000,338
21000,290
29000,378
19500,272
31000,428
12000,180
29000,512
12000,240
28000,416
6800,204
17000,376
16000,312
20000,384
10000,168
24000,260
14800,327
17000,364
15000,336
60000,782
16000,272
18000,240
9800,165
25000,344
18000,384
19800,592
22000,412
51000,504
18000,464
30000,268
19000,285
15000,248
17000,388
22000,337
19800,412
15000,288
24000,264
16000,294
14800,280
13000,212
18500,516
35000,318
18000,368
22000,223
17000,384
15000,320
30000,360
15000,316
13000,176
13000,136
13000,244
14000,344
13000,162
16000,292
13000,249
13000,190
13000,191
13000,202
13000,160
12000,160
13000,244
13000,279
13000,244
13000,294
13000,199
13000,180
13000,288
25000,520
13000,170
23000,358
13000,175
,
32000,464
19000,452
18000,296
28000,288
35000,632
22000,408
29500,580
25000,404
30000,452
18000,384
19000,432
23000,480
20000,320
20000,328
16000,312
14800,244
30000,400
30000,316
14000,204
19800,416
15000,272
25000,300
21900,468
15000,280
23000,456
32000,612
30000,557
11000,140
14000,208
11000,160
16000,328
38000,428
24000,468
16000,260
28000,398
18000,412
26000,599
45000,671
30000,260
28000,400
12800,232
3000,40
15000,272
18000,228
23000,346
20000,344
,
,
50000,503
65000,728
28000,616
24800,352
30000,520
40000,515
29500,305
13500,288
23000,256
16000,280
22000,340
16000,384
65000,653
16000,289
14000,272
14000,280
14000,288
15000,336
14000,308
14000,288
13000,300
12000,184
29500,640
13800,272
16000,316
15000,268
15000,340
35000,544
16000,312
16000,쪽수확인중
16000,292
15000,288
16000,407
15000,287
15000,264
15000,288
32000,397
27000,388
34500,624
,
16000,352
,
28000,379
26000,430
12000,222
,
13000,272
12000,216
14500,334
13000,320
14000,256
20000,384
20000,392
13500,176
18000,196
20000,296
12000,52
12000,124
12000,160
11000,136
12000,224
16500,394
12000,164
16500,364
16500,260
16500,294
16500,246
16500,290
16500,306
13500,148
13000,176
11000,116
11000,176
11000,200
11000,200
13000,172
11000,184
11000,170
12000,128
11000,192
11000,194
11000,164
11000,188
11000,170
11000,196
11000,196
11000,236
11500,111
11000,192
15000,248
11000,184
13500,120
13000,140
13000,140
14000,196
9800,100
12000,120
11000,108
17000,48
8000,64
16000,44
12000,148
13000,42
12000,130
13800,120
14000,320
12000,60
13500,216
13800,184
16000,336
13500,224
11900,224
11900,204
12000,224
13000,208
13000,368
13000,330
,
17000,312
45000,쪽수확인중
,
12000,322
19800,922
,
23000,386
,
14000,248
16800,392
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
20000,520
,
16000,468
16000,464
16000,532
16000,512
29000,308
18000,322
29000,438
,
,
38000,416
12000,296
9000,160
,
,
30000,256
17000,168
20000,191
27000,274
28000,277
20000,207
,
,
,
,
,
,
85000,592
85000,592
30000,519
20000,336
20000,360
20000,336
16000,196
10000,204
15000,300
,
,
15000,414
,
5500,263
16000,390
14000,53
,
,
14000,200
17000,288
18000,256
,
12000,300
,
15000,354
16000,424
15000,236
,
,
,
14000,312
,
14000,296
,
16000,348
3000,쪽수확인중
,
13000,253
,
,
,
15000,105
,
,
15000,224
,
14000,288
15000,302
14000,332
20000,480
39000,560
32000,368
38000,628
26000,356
18000,298
38000,680
25000,387
38000,540
33000,442
24000,380
25000,508
33000,720
28000,612
30000,426
17000,278
29000,564
30000,584
32000,456
23000,288
16000,346
19000,276
28000,508
28000,280
,
28000,280
29000,420
23000,448
15000,300
32000,652
25000,405
23000,300
23000,278
22000,220
21000,418
16000,228
24000,448
22000,276
23000,536
15000,216
26000,452
25000,578
18000,397
20000,320
22000,376
18000,248
22000,372
25000,446
,
30000,517
28000,597
34000,424
27000,472
,
33000,640
25000,560
20000,212
8000,170
,
8900,136
10000,91
16000,188
,
35000,167
,
,
,
,
,
,
,
,
,
,
16000,356
20000,488
,
15000,240
12000,216
,
,
,
,
,
,
,
15000,272
,
,
,
,
,
13000,32
,
,
,
,
,
,
,
,
13800,272
16000,300
20000,416
20000,306
19000,347
15000,312
,
15000,292
16000,292
50000,966
50000,966
,
,
13500,280
17500,316
18000,320
,
,
16000,336
11000,184
14000,256
,
14000,320
,
20000,284
15000,300
,
67000,40
14000,52
13000,140
15000,260
11000,212
17000,296
11000,272
17000,288
13000,216
13500,224
35000,727
15000,272
6000,124
9800,222
12000,350
18000,800
18000,792
28000,335
10000,200
10000,224
13000,216
10000,240
28000,796
25000,696
27000,736
,
,
10000,353
10000,159
9800,331
20000,528
16000,471
12000,296
25000,564
8000,204
6500,190
6500,211
6500,204
20000,451
19000,335
18000,357
20000,511
32000,680
,
8000,270
29500,710
13000,224
12500,280
12000,357
15000,227
14000,356
12000,280
15000,383
9000,302
15000,344
45000,552
13000,316
12000,292
12000,332
12000,316
12000,272
12000,263
12000,320
12000,296
12000,284
12000,268
12000,304
12000,310
12000,288
12000,300
23000,646
23000,658
,
,
9000,301
20000,384
15000,352
,
,
15000,312
15000,360
12000,349
30000,628
20000,400
,
,
19000,468
28000,800
12000,208
12000,204
12000,224
15000,364
15000,360
15000,340
18000,488
22000,624
18000,468
9000,368
18000,392
10000,288
10000,176
6000,242
15000,304
18000,341
16000,628
16000,628
15000,400
15000,248
20000,339
20000,339
14800,320
13800,392
9000,324
9000,341
15000,376
15000,368
15000,358
15000,368
14500,304
15000,362
16500,"1,380"
16500,651
25000,492
10000,250
25000,866
14000,464
14000,456
14000,464
14000,464
14000,464
15000,248
14000,252
,
26000,436
10000,316
,
11000,287
11000,318
12000,294
,
10000,237
12000,278
25000,588
20000,672
5000,144
12000,160
35000,752
15000,118
20000,496
12000,344
15000,346
20000,520
20000,512
20000,504
20000,600
18000,440
14000,208
23000,312
17500,228
17500,192
17500,296
17500,204
17500,220
17500,320
17500,244
17500,336
17500,196
17000,328
17000,216
30000,732
13500,204
13500,200
13500,200
20000,195
12000,311
25000,463
,
15000,296
,
,
,
15000,300
,
15000,362
14000,236
8000,184
15000,280
14000,228
13000,272
15000,256
,
15000,240
12000,224
15000,255
,
,
,
,
13000,376
15000,240
15000,236
15000,316
,
15000,336
,
,
,
15000,220
16000,276
,
15000,232
,
12000,220
,
15000,396
,
,
15000,256
20000,225
,
15000,274
10000,175
12000,295
19000,320
,
15000,277
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
15000,264
,
,
16500,318
,
,
15000,288
,
15000,368
14000,236
,
18000,368
16000,400
13000,256
13000,256
,
13000,228
20000,248
,
15000,264
20000,510
19800,536
10000,288
15000,288
17000,380
15000,340
15000,260
16000,340
15000,144
,
15000,320
13000,256
,
,
,
15000,298
,
20000,544
10000,256
14000,293
15000,270
,
,
,
19000,192
,
10000,138
,
15000,308
15000,324
,
,
,
,
15000,280
15000,230
12000,208
8500,336
,
,
,
,
15000,222
,
,
12000,218
18000,438
8000,270
9000,174
,
,
13000,316
12000,356
16000,328
,
,
,
,
8500,336
28000,416
14000,204
14000,240
14000,208
14000,248
9500,212
9900,324
8000,160
18000,322
9000,358
15000,237
3000,80
7500,323
12000,319
10000,348
20000,401
20000,516
20000,646
8200,256
8000,204
,
20000,593
9000,247
12000,308
8000,230
10000,286
,
25000,596
20000,459
25000,608
11000,312
15000,592
15000,646
17000,370
17000,380
17000,380
17000,398
17000,370
13000,440
13000,438
10000,248
23000,558
15000,332
9900,204
9800,291
38000,818
45000,910
25000,453
23000,660
18000,295
17000,392
7800,238
10000,400
12000,343
10000,423
35000,792
19000,335
23000,381
12000,288
21000,213
23000,460
18000,439
14800,503
10000,324
15000,306
12000,296
6000,233
12000,357
19000,376
9800,302
40000,716
18000,468
18000,436
22000,430
29800,672
10000,287
9000,302
13500,376
11000,287
11000,318
15000,200
25000,636
25000,726
12000,294
12000,291
3300,95
4800,96
4800,95
4800,94
6800,95
10900,271
30000,349
,
35000,"1,395"
35000,639
8000,570
18000,303
23000,699
15000,283
15000,428
13000,408
13000,416
25000,419
11000,366
28000,564
8500,200
15000,394
20000,477
20000,556
13000,263
4800,93
4800,93
4800,94
4800,93
4800,94
39000,800
6800,96
6800,96
4800,96
4800,96
4800,96
9000,240
10000,168
9000,287
12000,800
2000,86
38000,232
12000,302
20000,264
10000,96
12000,262
13000,234
12000,268
19000,812
12000,151
10000,336
15000,336
12000,265
20000,288
14000,304
18000,368
15000,360
12000,367
12000,366
18000,408
13000,274
15000,248
22000,280
18000,395
20000,248
33000,477
33000,487
15000,327
12000,192
16000,247
13000,200
15000,244
,
20000,296
25000,712
10000,274
10000,111
15000,352
18000,328
12000,427
,
9500,136
9500,136
22000,338
,
,
18000,432
16000,316
12000,272
13000,352
23000,478
12000,326
58000,400
15000,363
12000,260
12000,267
14000,301
12000,260
12000,245
31000,480
10000,80
15000,132
30000,385
23000,326
15000,272
13000,256
18000,280
9500,120
32000,416
15000,319
10000,200
24000,338
18000,368
18000,328
18000,368
20000,424
18000,320
25000,405
9700,224
12000,254
13000,240
13500,306
14000,385
13000,276
14000,282
14000,280
13000,272
14500,364
18000,400
30000,565
14000,308
12000,278
22000,472
9000,63
13000,196
13000,240
13000,208
16000,448
15000,236
20000,376
13000,216
58000,560
18000,428
20000,511
15000,262
13000,236
16000,365
7000,208
20000,360
14000,288
15000,312
14500,304
18000,415
16000,192
18000,408
15000,320
,
15000,268
18500,628
15000,336
14000,328
12000,264
,
13000,256
28000,440
13000,200
13000,212
13000,220
13000,216
13000,236
13000,224
4800,116
6800,148
10000,96
20000,437
15000,420
45000,552
14500,280
13500,272
60000,"1,232"
60000,"1,168"
19000,484
20000,392
17000,384
16000,240
23000,355
15000,312
16000,568
25000,"1,116"
6000,124
19000,476
18000,430
18000,316
18000,298
18000,378
15000,247
12000,211
20000,384
9900,424
35000,814
,
,
12000,204
12000,224
18000,256
34000,890
18000,165
15000,458
20000,392
22000,399
12000,384
15000,198
19000,400
15000,292
19000,423
18000,472
12000,200
47000,838
5000,144
28000,394
20000,360
30000,628
13000,304
15000,248
35000,"1,032"
14500,256
15000,471
15000,388
15000,354
19000,416
22000,488
35000,832
15000,304
20000,360
25000,720
14000,272
24000,336
9800,200
12000,152
15000,320
25000,480
15000,320
15000,288
16000,458
37000,732
14000,232
9800,204
15500,296
20000,496
15000,316
13000,300
15000,324
30000,612
17000,371
,
20000,256
10000,266
15000,304
18000,336
17500,336
14000,464
14000,456
14000,464
14000,464
14000,464
16800,320
12000,188
20000,600
18000,440
16000,236
19000,468
29000,526
19500,480
15000,328
14800,316
17500,196
17500,244
17500,320
17500,204
17500,220
34000,316
30000,934
25000,562
13800,342
20000,324
12000,240
15000,236
15000,256
15000,204
15000,324
20000,339
20000,339
15000,216
15000,232
17000,376
15000,280
16000,288
16000,224
16000,420
15000,288
15800,336
16800,320
15000,256
14000,236
10000,206
15000,246
14500,276
8900,236
22000,547
19000,286
47000,840
18000,468
15000,264
45000,674
16000,228
10000,136
16000,328
25000,463
15000,336
20000,390
29800,102
16000,294
19000,462
28000,388
10000,172
14500,204
16000,300
15000,118
18000,408
19800,512
19800,536
,
16000,396
18000,432
15000,168
15000,192
13800,248
10000,160
39500,588
28000,456
16000,268
16500,188
30000,732
17000,216
15000,312
13000,224
20000,254
19500,584
12000,152
15000,280
28000,448
15800,428
16000,269
17000,304
16000,392
,
8800,144
14000,208
17500,362
17000,304
16000,396
19800,360
15000,248
26000,592
35000,296
20000,347
27000,520
28000,553
31000,416
28000,552
16000,368
19800,500
10000,144
20000,168
50000,590
30000,470
13000,216
13000,272
17000,252
18000,312
18000,352
18000,320
15000,292
30000,312
15000,312
18000,444
18000,215
20000,398
14000,296
15000,328
14000,268
14800,312
27000,292
17000,344
15000,280
15000,276
14800,336
14800,256
15800,272
20000,236
30000,352
19000,340
28000,480
25000,550
25000,519
16000,424
9000,156
14000,320
28000,576
20000,336
18000,326
17000,260
26000,492
15000,404
16000,400
10000,120
20000,500
15000,160
14000,336
18000,192
7800,128
35000,560
14800,332
15000,268
12800,224
9000,112
15800,412
13000,228
29800,484
15000,264
12000,224
18000,352
9000,120
13000,244
18000,384
17000,420
16800,440
22000,478
14000,220
10000,136
14800,576
23000,456
10000,144
14800,288
12000,160
9000,182
9000,118
9000,132
13000,224
14800,280
12000,128
13000,118
13000,424
14000,304
9000,144
10000,104
18000,560
13800,348
16000,368
25000,576
22000,472
13000,272
16800,344
19800,474
16000,360
13500,232
18000,287
16500,368
19000,356
15000,296
16900,324
13000,224
15000,312
29000,485
16000,267
19000,496
12900,224
16900,332
15000,264
50000,704
13500,208
20000,408
16000,316
18000,488
15000,300
20000,376
10000,180
16000,352
15000,256
16000,348
15000,344
16000,352
20000,432
15000,232
15000,300
19000,324
12000,168
20000,348
15000,272
15000,267
13000,200
17000,364
20000,456
18000,336
20000,352
20000,480
14500,240
29500,379
14000,264
16000,396
16000,448
16000,291
18000,360
18000,320
15000,284
14800,376
17000,344
19000,544
17000,312
30000,220
16800,296
15000,244
14800,214
15000,304
19500,494
16000,368
16000,330
16400,252
30000,731
38000,964
17800,304
17000,364
17000,456
15000,400
32000,656
13800,336
17000,400
16500,384
15000,312
14000,240
18000,373
15000,256
15000,378
,
35000,692
14000,260
9000,158
15000,296
17000,456
17000,288
13800,287
15000,210
15000,256
16000,296
15000,320
20000,336
18000,448
17000,416
19800,248
16000,304
13800,268
18000,388
17000,292
15000,252
13800,192
15000,276
15000,336
17000,368
18000,248
18000,364
16000,268
18000,352
17000,308
14000,248
25000,516
16000,324
